,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,pavlovsk,73,RU,1580712652,91,50.46,40.11,36.37,12.97
1,punta arenas,90,CL,1580712653,81,-53.15,-70.92,50.0,9.17
2,atuona,0,PF,1580712653,76,-9.8,-139.03,81.72,15.46
3,mataura,100,NZ,1580712653,96,-46.19,168.86,60.01,1.99
4,saint-philippe,18,RE,1580712653,79,-21.36,55.77,84.99,27.51
5,rikitea,57,PF,1580712653,79,-23.12,-134.97,79.02,14.14
6,avarua,16,CK,1580712653,78,-21.21,-159.78,80.6,5.82
7,hilo,1,US,1580712557,82,19.73,-155.09,66.99,3.36
8,upernavik,0,GL,1580712654,85,72.79,-56.15,-24.5,4.99
9,busselton,0,AU,1580712654,11,-33.65,115.33,93.0,3.09
10,torbay,90,CA,1580712654,86,47.67,-52.73,30.99,28.86
11,sakaraha,1,MG,1580712654,41,-22.9,44.53,82.24,7.7
12,vao,51,NC,1580712654,80,-22.67,167.48,78.62,17.9
13,gizo,85,SB,1580712655,77,-8.1,156.84,82.09,7.16
14,ucluelet,56,CA,1580712655,93,48.93,-125.55,34.0,4.14
15,albany,90,US,1580712655,95,42.6,-73.97,33.01,0.65
16,pevek,100,RU,1580712655,99,69.7,170.31,-20.52,5.1
17,maceio,70,BR,1580712655,94,-9.67,-35.74,75.2,2.24
18,saint-joseph,1,RE,1580712656,79,-21.37,55.62,84.99,27.51
19,avera,1,US,1580712656,57,33.19,-82.53,54.0,5.82
20,kavieng,100,PG,1580712656,79,-2.57,150.8,84.51,13.29
21,khatassy,100,RU,1580712656,67,61.9,129.64,-27.4,2.24
22,vaini,40,TO,1580712656,74,-21.2,-175.2,82.4,8.05
23,pacific grove,1,US,1580712656,70,36.62,-121.92,48.0,30.47
24,castro,100,BR,1580712657,98,-24.79,-50.01,63.37,8.28
25,barrow,1,US,1580712657,96,71.29,-156.79,-32.8,12.75
26,san carlos de bariloche,0,AR,1580712657,50,-41.15,-71.31,51.8,20.8
27,butaritari,100,KI,1580712657,73,3.07,172.79,83.12,14.61
28,ust-nera,0,RU,1580712657,100,64.57,143.2,-39.24,0.51
29,cabedelo,20,BR,1580712657,94,-6.98,-34.83,77.0,2.57
30,provideniya,100,RU,1580712658,72,64.38,-173.3,-10.17,20.89
31,bojnurd,40,IR,1580712658,74,37.47,57.33,33.8,4.7
32,puerto ayora,89,EC,1580712658,14,-0.74,-90.35,78.01,5.01
33,hermanus,33,ZA,1580712658,86,-34.42,19.23,75.0,7.0
34,san patricio,100,MX,1580712658,75,19.22,-104.7,78.57,2.33
35,hobart,20,AU,1580712658,41,-42.88,147.33,57.99,20.8
36,pisco,40,PE,1580712659,83,-13.7,-76.22,71.6,5.82
37,tuktoyaktuk,5,CA,1580712659,65,69.45,-133.04,-38.2,4.7
38,santa cruz,40,BO,1580712659,94,-17.8,-63.17,77.0,6.93
39,whitianga,69,NZ,1580712659,71,-36.83,175.7,75.99,5.99
40,qaanaaq,72,GL,1580712660,52,77.48,-69.36,-23.89,3.98
41,ushuaia,75,AR,1580712660,81,-54.8,-68.3,50.0,4.7
42,comodoro rivadavia,82,AR,1580712660,82,-45.87,-67.5,55.4,6.98
43,gravdal,75,NO,1580712660,74,68.12,13.5,30.2,20.8
44,tecoanapa,85,MX,1580712661,87,16.52,-98.75,73.87,1.7
45,udachnyy,10,RU,1580712661,67,66.42,112.4,-25.6,2.48
